id_name,category,price_chf,old_price,sellable_online,link,other_colors,description,designer,width,length,depth
89305719_PAX,Wardrobes,682.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-nykirke-frosted-glass-check-pattern-s89305719/,Yes,"Wardrobe,          200x66x236 cm",IKEA of Sweden/Ehlén Johansson,66,236,200
29167037_PAX,Wardrobes,612.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-faervik-white-glass-s29167037/,No,"Wardrobe,          200x44x236 cm",Ehlén Johansson/IKEA of Sweden,44,236,200
80229008_BUSUNGE,Wardrobes,161.25,No old price,TRUE,https://www.ikea.com/sa/en/p/busunge-wardrobe-light-pink-80229008/,No,"Wardrobe,          80x139 cm",Carl Öjerstam,52,139,80
39248590_PLATSA,Wardrobes,390,"SR 1,950",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s39248590/,No,"Wardrobe,          175-200x57x251 cm",IKEA of Sweden/Ola Wihlborg,57,251,140
79303886_PAX,Wardrobes,716.25,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-corner-wardrobe-white-fardal-vikedal-s79303886/,No,"Corner wardrobe,          160/88x236 cm",Ehlén Johansson/IKEA of Sweden,87,236,160
99246588_PAX,Wardrobes,263.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-vikedal-s99246588/,No,"Wardrobe,          100x38x236 cm",IKEA of Sweden/Ehlén Johansson,38,236,100
29203889_PLATSA,Wardrobes,379,"SR 1,895",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s29203889/,No,"Wardrobe,          140x57x261 cm",IKEA of Sweden,57,261,140
29127777_PAX,Wardrobes,257.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-vikedal-mirror-glass-s29127777/,Yes,"Wardrobe,          100x60x201 cm",Ehlén Johansson/IKEA of Sweden,60,201,100
9171035_PAX,Wardrobes,166.25,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-tyssedal-glass-s09171035/,No,"Wardrobe,          50x38x236 cm",Ebba Strandmark/Ehlén Johansson/IKEA of Sweden,38,236,49
99127608_PAX,Wardrobes,490,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-fardal-vikedal-s99127608/,Yes,"Wardrobe,          150x60x201 cm",IKEA of Sweden/Ehlén Johansson,60,201,150
89325374_PLATSA,Wardrobes,156,SR 780,TRUE,https://www.ikea.com/sa/en/p/platsa-wall-storage-white-fonnes-white-s89325374/,No,"Wall storage,          240x42x40 cm",IKEA of Sweden,42,40,240
39127395_PAX,Wardrobes,1217.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-fardal-high-gloss-white-s39127395/,Yes,"Wardrobe,          300x60x201 cm",IKEA of Sweden/Ehlén Johansson,60,201,300
298128_TYSSEDAL,Wardrobes,411.25,No old price,TRUE,https://www.ikea.com/sa/en/p/tyssedal-wardrobe-white-mirror-glass-00298128/,No,"Wardrobe,          88x58x208 cm",Ebba Strandmark,58,208,88
79287612_PAX,Wardrobes,453.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-forsand-brown-stained-ash-effect-s79287612/,No,"Wardrobe,          200x60x236 cm",Ehlén Johansson/IKEA of Sweden,60,236,200
99096013_PAX,Wardrobes,603.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-undredal-black-s99096013/,No,"Wardrobe,          200x60x236 cm",IKEA of Sweden/Ebba Strandmark/Ehlén Johansson,60,236,200
29158212_ELVARLI,Wardrobes,108.5,SR 660,TRUE,https://www.ikea.com/sa/en/p/elvarli-1-section-white-s29158212/,No,"1 section,          84x55x216 cm",IKEA of Sweden/Ehlén Johansson,55,216,84
49324946_PAX / TYSSEDAL,Wardrobes,1516.25,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-tyssedal-wardrobe-combination-white-white-glass-s49324946/,No,"Wardrobe combination,          250x60x236 cm",Ebba Strandmark/IKEA of Sweden/Ola Wihlborg/Ehlén Johansson,60,236,250
89305795_PAX,Wardrobes,472.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-black-brown-stained-ash-effect-mehamn-black-brown-stained-ash-effect-s89305795/,No,"Wardrobe,          150x66x236 cm",IKEA of Sweden/Ehlén Johansson,66,236,150
70439573_SYVDE,Wardrobes,111.25,No old price,TRUE,https://www.ikea.com/sa/en/p/syvde-open-wardrobe-white-70439573/,No,"Open wardrobe,          80x123 cm",IKEA of Sweden,48,123,80
19305807_PAX,Wardrobes,612.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-faervik-white-glass-s19305807/,No,"Wardrobe,          200x44x236 cm",IKEA of Sweden/Ehlén Johansson,44,236,200
49305740_PAX,Wardrobes,885,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-mehamn-auli-s49305740/,No,"Wardrobe,          250x66x236 cm",Ehlén Johansson/IKEA of Sweden,66,236,250
29300121_PAX,Wardrobes,315,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-grimo-vikedal-s29300121/,No,"Wardrobe,          100x38x236 cm",IKEA of Sweden/Ola Wihlborg/Ehlén Johansson,38,236,100
19227640_PAX,Wardrobes,381.25,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-s19227640/,Yes,"Wardrobe,          150x58x201 cm",IKEA of Sweden/Ehlén Johansson,58,201,150
89252117_PLATSA,Wardrobes,347,"SR 1,735",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-sannidal-s89252117/,No,"Wardrobe,          240x57x123 cm",IKEA of Sweden,57,123,240
90269697_SUNDVIK,Wardrobes,273.75,No old price,TRUE,https://www.ikea.com/sa/en/p/sundvik-wardrobe-grey-brown-90269697/,No,"Wardrobe,          80x50x171 cm",Jon Karlsson,50,171,80
90421911_BRYGGJA,Wardrobes,149.25,SR 995,TRUE,https://www.ikea.com/sa/en/p/bryggja-storage-unit-dark-grey-90421911/,No,"Storage unit,          120x173 cm",Ola Wihlborg,43,173,120
19305812_PAX,Wardrobes,580,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-faervik-white-glass-s19305812/,No,"Wardrobe,          150x66x236 cm",Ehlén Johansson/IKEA of Sweden,66,236,150
79306328_PAX,Wardrobes,547.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-auli-mirror-glass-s79306328/,No,"Wardrobe,          150x66x201 cm",IKEA of Sweden/Ehlén Johansson,66,201,150
39246911_PAX,Wardrobes,147.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-white-s39246911/,No,"Wardrobe,          50x38x236 cm",IKEA of Sweden/Ehlén Johansson,38,236,50
79305852_PAX,Wardrobes,485,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-sekken-frosted-glass-s79305852/,No,"Wardrobe,          150x44x236 cm",IKEA of Sweden/Ehlén Johansson,44,236,150
89288135_PAX,Wardrobes,1646.25,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-hamnas-black-blue-s89288135/,No,"Wardrobe,          250x60x236 cm",IKEA of Sweden/Ehlén Johansson,60,236,250
347614_VISTHUS,Wardrobes,223.75,No old price,TRUE,https://www.ikea.com/sa/en/p/visthus-wardrobe-grey-white-00347614/,No,"Wardrobe,          63x59x216 cm",T Winkel/T Jacobsen,59,216,62
59248626_PLATSA,Wardrobes,873.25,"SR 4,490",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s59248626/,No,"Wardrobe,          240x61x281 cm",IKEA of Sweden,61,281,240
59303533_PAX,Wardrobes,852.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-repvag-white-stained-oak-veneer-s59303533/,No,"Wardrobe,          150x60x236 cm",Ehlén Johansson/IKEA of Sweden,60,236,150
89300156_PAX,Wardrobes,923.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-flornes-dark-grey-s89300156/,No,"Wardrobe,          200x60x236 cm",IKEA of Sweden/Ehlén Johansson,60,236,200
49306315_PAX,Wardrobes,805.5,"SR 3,435",TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-uggdal-grey-glass-s49306315/,No,"Wardrobe,          150x66x236 cm",IKEA of Sweden/Ehlén Johansson,66,236,150
49325371_PLATSA,Wardrobes,108.75,No old price,TRUE,https://www.ikea.com/sa/en/p/platsa-wall-storage-white-s49325371/,No,"Wall storage,          240x40x40 cm",Ola Wihlborg,40,40,240
49287618_PAX,Wardrobes,440,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-brown-stained-ash-effect-forsand-brown-stained-ash-effect-s49287618/,No,"Wardrobe,          150x60x236 cm",Ehlén Johansson/IKEA of Sweden,60,236,150
39285988_PAX,Wardrobes,241.25,SR 980,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-forsand-vikedal-s39285988/,No,"Wardrobe,          75x60x236 cm",Ehlén Johansson/IKEA of Sweden,60,236,75
19304582_PLATSA,Wardrobes,315.125,"SR 1,580",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-w-6-doors-fonnes-white-s19304582/,No,"Wardrobe w 6 doors,          140x42x241 cm",IKEA of Sweden,42,241,140
