date;station/location;station_name;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
2018-01-01;BAS;Basel / Binningen;37;0;82;978.9;117.3;2728;6.3;-1.4;15.3;80.7
2017-12-01;BAS;Basel / Binningen;29;0;85;980.4;80.7;2411;3.1;-5.7;15.5;82.6
2017-11-01;BAS;Basel / Binningen;44;0;82;980.6;92.5;3142;5.7;-2.5;17.8;82.8
2017-10-01;BAS;Basel / Binningen;107;0;59;985.2;33.6;8702;12.1;-1.4;24.3;78.3
2017-09-01;BAS;Basel / Binningen;145;0;72;979.9;42.1;8289;14.3;4.5;25.7;75.7
2017-08-01;BAS;Basel / Binningen;215;0;60;981.0;100.2;13071;20.5;10.1;32.0;71.3
2017-07-01;BAS;Basel / Binningen;235;0;67;979.5;71.3;12407;20.9;11.5;34.0;66.7
2017-06-01;BAS;Basel / Binningen;283;0;56;978.7;32.0;16687;20.9;8.3;34.3;62.7
2017-05-01;BAS;Basel / Binningen;236;0;65;979.9;112.7;13842;15.8;2.6;31.3;69.3
2017-04-01;BAS;Basel / Binningen;204;0;58;982.5;66.2;12350;9.9;-2.4;24.4;64.4
2017-03-01;BAS;Basel / Binningen;144;0;69;980.4;36.4;10523;9.6;-0.1;22.9;67.0
2017-02-01;BAS;Basel / Binningen;76;0;75;980.4;59.0;5703;5.5;-1.3;20.4;78.4
2017-01-01;BAS;Basel / Binningen;41;2;72;985.5;38.5;3480;-1.7;-10.5;9.2;81.0
2016-12-01;BAS;Basel / Binningen;49;0;54;992.5;3.3;7581;1.0;-5.7;10.2;88.5
2016-11-01;BAS;Basel / Binningen;47;0;77;978.8;54.7;3596;5.9;-4.7;17.6;82.1
2016-10-01;BAS;Basel / Binningen;85;0;72;983.2;57.7;6024;9.6;0.7;18.3;83.5
2016-09-01;BAS;Basel / Binningen;165;0;57;982.0;44.7;11789;17.8;7.3;30.0;75.1
2016-08-01;BAS;Basel / Binningen;228;0;47;983.0;69.2;15584;20.3;7.8;33.8;69.0
2016-07-01;BAS;Basel / Binningen;257;0;55;981.6;35.7;16192;20.7;8.1;34.6;68.8
2016-06-01;BAS;Basel / Binningen;208;0;73;978.3;176.2;8562;17.7;9.7;33.2;78.3
2016-05-01;BAS;Basel / Binningen;193;0;74;976.6;154.7;9809;13.9;2.6;26.6;73.8
2016-04-01;BAS;Basel / Binningen;153;0;81;976.1;144.8;7104;9.7;-0.5;20.8;74.6
2016-03-01;BAS;Basel / Binningen;114;0;72;976.7;37.8;6725;5.7;-2.4;21.6;73.5
2016-02-01;BAS;Basel / Binningen;54;0;85;976.1;86.1;2688;5.2;-2.0;15.9;78.5
2016-01-01;BAS;Basel / Binningen;39;0;82;978.3;131.9;2742;3.7;-7.1;14.1;83.5
2015-12-01;BAS;Basel / Binningen;51;0;57;991.2;16.0;7555;5.5;-2.3;15.0;85.0
2015-11-01;BAS;Basel / Binningen;65;0;66;984.6;48.9;6307;8.7;-3.7;21.9;78.1
2015-10-01;BAS;Basel / Binningen;93;0;77;980.6;36.0;6389;10.2;0.4;21.2;80.6
2015-09-01;BAS;Basel / Binningen;154;0;62;980.5;49.0;9721;14.4;4.4;27.0;71.1
2015-08-01;BAS;Basel / Binningen;213;0;59;979.3;73.7;13681;21.0;11.0;37.0;68.2
2015-07-01;BAS;Basel / Binningen;275;0;45;979.6;22.9;18680;23.2;8.4;36.5;56.9
2015-06-01;BAS;Basel / Binningen;245;0;67;981.8;94.5;13377;18.7;8.4;32.6;69.3
2015-05-01;BAS;Basel / Binningen;208;0;80;979.7;92.1;10257;15.0;4.3;29.8;68.5
2015-04-01;BAS;Basel / Binningen;203;0;59;983.0;87.6;13215;11.2;-2.0;25.7;61.3
2015-03-01;BAS;Basel / Binningen;132;0;66;982.7;31.3;10087;7.4;-2.1;17.5;67.3
2015-02-01;BAS;Basel / Binningen;70;0;68;979.1;25.4;4891;1.6;-5.3;14.4;75.9
2015-01-01;BAS;Basel / Binningen;37;1;79;981.4;67.9;2529;3.1;-7.2;16.8;81.3
2014-12-01;BAS;Basel / Binningen;24;1;86;983.6;49.2;1528;3.8;-13.4;13.0;84.2
2014-11-01;BAS;Basel / Binningen;54;0;79;974.7;87.2;4444;8.0;1.6;17.0;86.0
2014-10-01;BAS;Basel / Binningen;99;0;70;980.6;80.9;7733;13.6;2.9;23.8;82.8
2014-09-01;BAS;Basel / Binningen;156;0;65;980.9;34.1;10449;16.4;6.7;27.1;79.0
2014-08-01;BAS;Basel / Binningen;187;0;74;978.4;89.4;9062;17.4;9.4;28.4;75.0
2014-07-01;BAS;Basel / Binningen;200;0;74;977.8;196.3;10259;19.2;10.3;33.3;75.9
2014-06-01;BAS;Basel / Binningen;278;0;55;979.5;59.4;17056;19.2;8.9;35.5;59.9
2014-05-01;BAS;Basel / Binningen;215;0;73;979.1;70.0;9925;13.9;3.2;27.3;68.3
2014-04-01;BAS;Basel / Binningen;184;0;71;977.3;59.2;10571;12.2;0.2;23.4;66.2
2014-03-01;BAS;Basel / Binningen;152;0;54;979.5;13.7;12098;8.5;-1.0;21.7;64.6
2014-02-01;BAS;Basel / Binningen;75;0;73;973.0;71.9;5195;5.7;0.6;15.1;73.9
2014-01-01;BAS;Basel / Binningen;43;0;82;973.4;57.3;3614;4.5;-3.5;13.0;81.0
2013-12-01;BAS;Basel / Binningen;48;0;57;985.4;76.6;6719;3.0;-4.1;17.1;80.8
2013-11-01;BAS;Basel / Binningen;39;0;83;979.2;79.9;2499;5.3;-5.8;17.7;82.0
2013-10-01;BAS;Basel / Binningen;86;0;78;980.1;97.5;5836;12.6;1.8;24.8;81.6
2013-09-01;BAS;Basel / Binningen;146;0;70;979.7;68.1;8716;15.7;7.6;29.5;77.9
2013-08-01;BAS;Basel / Binningen;226;0;50;981.2;90.4;15439;19.5;9.5;34.9;71.3
2013-07-01;BAS;Basel / Binningen;272;0;47;981.8;82.6;17833;21.6;10.8;37.3;67.4
2013-06-01;BAS;Basel / Binningen;251;0;67;980.9;64.5;13114;17.5;5.0;34.5;68.6
2013-05-01;BAS;Basel / Binningen;162;0;81;975.2;99.4;5695;11.9;4.5;23.2;76.9
2013-04-01;BAS;Basel / Binningen;148;0;79;977.4;84.8;6566;10.2;-1.4;25.7;70.6
2013-03-01;BAS;Basel / Binningen;87;0;84;969.9;57.9;3585;3.8;-4.9;15.6;74.9
2013-02-01;BAS;Basel / Binningen;62;3;82;977.0;63.5;2907;0.4;-11.1;12.3;77.7
2013-01-01;BAS;Basel / Binningen;35;3;90;978.1;42.5;2339;1.7;-7.7;16.6;83.6
2012-12-01;BAS;Basel / Binningen;35;2;83;977.6;93.5;2798;3.6;-6.1;16.2;79.7
2012-11-01;BAS;Basel / Binningen;50;0;76;976.8;143.2;4317;6.8;-1.8;19.8;84.6
2012-10-01;BAS;Basel / Binningen;82;0;75;976.4;89.2;5511;10.8;-0.9;23.9;84.2
2012-09-01;BAS;Basel / Binningen;138;0;70;979.7;83.2;8368;15.1;6.2;28.4;80.5
2012-08-01;BAS;Basel / Binningen;221;0;57;980.5;120.5;15011;20.7;10.7;34.0;71.1
2012-07-01;BAS;Basel / Binningen;230;0;62;979.8;128.1;12663;19.1;8.7;34.4;72.5
2012-06-01;BAS;Basel / Binningen;231;0;68;978.0;134.3;11581;18.4;9.3;33.0;72.8
2012-05-01;BAS;Basel / Binningen;224;0;63;978.5;66.5;12964;15.5;2.4;30.6;68.9
2012-04-01;BAS;Basel / Binningen;146;0;82;969.4;100.0;6269;9.8;0.7;28.0;72.7
2012-03-01;BAS;Basel / Binningen;158;0;41;988.3;13.6;13954;8.9;-1.7;22.7;67.5
2012-02-01;BAS;Basel / Binningen;84;5;58;988.4;12.5;6768;-2.2;-19.3;14.7;72.6
2012-01-01;BAS;Basel / Binningen;36;0;78;985.4;63.3;3074;3.8;-5.7;14.4;83.1
2011-12-01;BAS;Basel / Binningen;27;0;86;980.7;118.0;1936;5.3;-2.1;13.6;81.9
2011-11-01;BAS;Basel / Binningen;57;0;65;983.4;4.1;6218;6.4;-1.8;16.2;86.5
2011-10-01;BAS;Basel / Binningen;107;0;60;983.8;45.8;9078;11.0;0.3;25.0;81.4
2011-09-01;BAS;Basel / Binningen;174;0;55;981.3;79.8;13327;17.4;7.2;31.9;77.6
2011-08-01;BAS;Basel / Binningen;225;0;55;978.8;45.8;14549;20.2;8.7;35.1;71.5
2011-07-01;BAS;Basel / Binningen;235;0;63;977.0;114.7;12305;17.4;8.0;33.7;71.0
2011-06-01;BAS;Basel / Binningen;222;0;70;980.0;96.9;10143;18.1;8.7;34.1;70.4
2011-05-01;BAS;Basel / Binningen;260;0;54;981.3;48.4;16779;16.6;1.2;31.0;60.0
2011-04-01;BAS;Basel / Binningen;232;0;50;980.5;20.3;16368;13.4;0.4;26.0;62.5
2011-03-01;BAS;Basel / Binningen;130;0;56;982.8;48.2;10327;7.5;-3.7;20.4;70.7
2011-02-01;BAS;Basel / Binningen;66;0;74;981.0;27.0;4887;3.9;-4.4;15.2;81.6
2011-01-01;BAS;Basel / Binningen;37;1;83;981.9;38.9;3071;2.4;-7.9;16.7;83.0
2010-12-01;BAS;Basel / Binningen;28;6;88;974.9;128.3;1598;-0.2;-11.3;14.8;87.7
2010-11-01;BAS;Basel / Binningen;38;2;85;971.1;71.6;2244;6.3;-8.8;18.6;83.4
2010-10-01;BAS;Basel / Binningen;90;0;72;977.5;30.9;6387;9.7;-0.6;23.6;81.1
2010-09-01;BAS;Basel / Binningen;160;0;62;979.4;53.8;11185;14.1;3.8;24.6;76.4
2010-08-01;BAS;Basel / Binningen;186;0;67;979.2;141.2;10250;18.3;8.4;29.9;74.4
2010-07-01;BAS;Basel / Binningen;253;0;54;980.8;44.4;15860;21.6;10.7;35.7;65.5
2010-06-01;BAS;Basel / Binningen;219;0;68;977.9;65.4;11491;18.0;7.9;32.2;72.2
2010-05-01;BAS;Basel / Binningen;156;0;83;976.9;140.5;5609;12.5;4.9;27.9;77.4
2010-04-01;BAS;Basel / Binningen;194;0;64;980.7;19.6;11277;11.1;0.8;27.9;62.1
2010-03-01;BAS;Basel / Binningen;122;1;73;979.9;45.2;7376;5.9;-6.8;21.0;66.6
2010-02-01;BAS;Basel / Binningen;60;2;85;968.6;54.0;2783;2.4;-9.6;15.9;75.4
2010-01-01;BAS;Basel / Binningen;35;3;87;976.5;40.3;2714;-0.7;-8.3;8.0;84.0
2009-12-01;BAS;Basel / Binningen;27;1;87;971.8;112.8;2024;2.4;-16.0;14.3;81.7
2009-11-01;BAS;Basel / Binningen;43;0;75;975.1;82.9;3823;8.4;1.3;16.1;79.5
2009-10-01;BAS;Basel / Binningen;88;0;74;981.2;47.3;7419;10.6;-0.5;28.2;77.3
2009-09-01;BAS;Basel / Binningen;139;0;63;982.7;42.2;10385;16.5;8.5;31.0;76.4
2009-08-01;BAS;Basel / Binningen;210;0;51;980.8;84.9;15392;21.1;8.1;34.6;69.0
2009-07-01;BAS;Basel / Binningen;222;0;64;979.6;87.3;11442;20.0;12.3;32.4;68.5
2009-06-01;BAS;Basel / Binningen;233;0;64;979.4;65.9;12199;17.7;8.2;29.6;69.4
2009-05-01;BAS;Basel / Binningen;221;0;63;982.0;86.7;12080;16.7;3.4;32.3;68.1
2009-04-01;BAS;Basel / Binningen;184;0;66;976.4;18.4;10077;12.9;3.8;24.0;64.6
2009-03-01;BAS;Basel / Binningen;107;0;75;978.9;69.6;5836;6.1;-3.5;14.8;69.9
2009-02-01;BAS;Basel / Binningen;69;1;82;977.8;48.9;4126;2.0;-8.0;13.8;76.7
2009-01-01;BAS;Basel / Binningen;46;0;65;977.8;18.1;5842;-0.8;-10.6;12.9;80.0
2008-12-01;BAS;Basel / Binningen;27;4;79;981.3;76.7;2475;1.7;-6.7;9.7;82.6
2008-11-01;BAS;Basel / Binningen;47;0;77;978.8;18.1;3740;5.8;-3.6;18.1;82.0
2008-10-01;BAS;Basel / Binningen;88;0;71;982.0;113.4;7138;10.8;0.6;22.4;81.8
2008-09-01;BAS;Basel / Binningen;138;0;73;980.8;125.1;8526;13.6;3.4;26.5;78.3
2008-08-01;BAS;Basel / Binningen;190;0;64;978.9;95.4;12002;18.6;9.8;29.5;73.4
2008-07-01;BAS;Basel / Binningen;229;0;56;979.4;112.7;13038;19.6;10.0;32.5;68.1
2008-06-01;BAS;Basel / Binningen;211;0;69;979.5;34.4;10438;18.3;8.2;31.4;72.9
2008-05-01;BAS;Basel / Binningen;224;0;63;976.6;74.6;12034;16.3;6.2;26.6;67.2
2008-04-01;BAS;Basel / Binningen;136;0;81;974.4;112.0;5741;9.3;-1.7;21.4;72.3
2008-03-01;BAS;Basel / Binningen;113;0;79;972.8;44.1;6160;6.2;-4.8;20.3;67.4
2008-02-01;BAS;Basel / Binningen;90;0;47;988.8;18.8;9807;4.8;-5.0;17.7;71.2
2008-01-01;BAS;Basel / Binningen;45;0;76;983.6;44.3;5330;4.3;-3.6;13.5;75.9
2007-12-01;BAS;Basel / Binningen;38;0;70;986.3;35.1;4647;2.1;-8.5;14.5;78.2
2007-11-01;BAS;Basel / Binningen;45;0;73;983.0;39.4;4164;4.3;-5.5;12.2;79.4
2007-10-01;BAS;Basel / Binningen;95;0;68;985.1;5.1;7859;10.3;-0.7;24.9;79.2
2007-09-01;BAS;Basel / Binningen;151;0;62;983.1;39.7;10803;14.0;5.2;24.7;77.2
2007-08-01;BAS;Basel / Binningen;179;0;66;978.9;196.6;10687;18.1;8.2;33.1;76.3
2007-07-01;BAS;Basel / Binningen;215;0;59;978.8;119.0;11499;18.7;8.3;33.6;71.6
2007-06-01;BAS;Basel / Binningen;209;0;71;976.5;183.1;9088;18.4;10.8;29.9;74.9
2007-05-01;BAS;Basel / Binningen;203;0;69;975.3;160.2;10581;16.0;4.8;29.7;68.1
2007-04-01;BAS;Basel / Binningen;236;0;40;980.9;2.0;18472;14.4;1.6;27.3;58.9
2007-03-01;BAS;Basel / Binningen;127;0;61;978.7;62.8;8905;6.9;-0.9;17.1;72.5
2007-02-01;BAS;Basel / Binningen;77;0;66;975.9;61.7;6786;6.4;-1.7;15.2;74.9
2007-01-01;BAS;Basel / Binningen;42;2;81;984.7;47.3;3578;5.8;-8.5;15.2;78.5
2006-12-01;BAS;Basel / Binningen;45;0;59;988.0;45.0;6702;3.7;-4.6;18.1;81.1
2006-11-01;BAS;Basel / Binningen;57;0;70;983.0;34.7;6190;7.9;-1.0;16.4;80.8
2006-10-01;BAS;Basel / Binningen;88;0;71;978.7;63.2;7225;13.7;4.5;21.8;83.1
2006-09-01;BAS;Basel / Binningen;141;0;70;978.9;177.7;8919;18.0;8.3;28.4;79.9
2006-08-01;BAS;Basel / Binningen;161;0;73;977.0;138.3;8077;16.3;8.8;25.9;76.7
2006-07-01;BAS;Basel / Binningen;268;0;41;981.3;27.1;18544;23.7;13.6;35.2;62.7
2006-06-01;BAS;Basel / Binningen;254;0;53;982.6;76.3;14660;18.7;3.7;31.5;66.7
2006-05-01;BAS;Basel / Binningen;177;0;80;979.9;140.9;7678;14.4;4.3;25.8;71.7
2006-04-01;BAS;Basel / Binningen;154;0;70;978.0;150.5;8880;9.8;-0.9;24.3;71.6
2006-03-01;BAS;Basel / Binningen;107;6;71;974.6;131.2;6249;4.5;-5.8;22.7;73.8
2006-02-01;BAS;Basel / Binningen;57;1;83;977.5;35.8;2927;1.0;-8.6;11.2;80.5
2006-01-01;BAS;Basel / Binningen;53;1;54;985.5;7.8;5978;-1.4;-8.6;7.8;83.2
2005-12-01;BAS;Basel / Binningen;28;0;84;981.1;40.8;1325;0.8;-9.7;11.5;82.7
2005-11-01;BAS;Basel / Binningen;56;0;68;981.0;30.6;5461;4.8;-5.7;19.6;82.6
2005-10-01;BAS;Basel / Binningen;100;0;58;982.1;61.5;9495;12.5;5.0;21.2;82.9
2005-09-01;BAS;Basel / Binningen;144;0;63;981.5;39.1;9292;16.4;5.0;28.4;77.7
2005-08-01;BAS;Basel / Binningen;188;0;58;980.8;67.8;11847;17.4;8.7;29.9;75.2
2005-07-01;BAS;Basel / Binningen;212;0;65;979.8;112.6;11059;19.3;10.4;34.6;72.5
2005-06-01;BAS;Basel / Binningen;258;0;57;981.9;84.2;15459;19.3;4.2;34.0;65.7
2005-05-01;BAS;Basel / Binningen;209;0;64;980.1;98.3;12352;14.6;2.0;30.8;71.2
2005-04-01;BAS;Basel / Binningen;144;0;75;977.1;80.3;7420;10.5;-1.2;26.3;70.7
2005-03-01;BAS;Basel / Binningen;133;1;64;979.6;40.5;9426;6.6;-14.7;22.5;71.5
2005-02-01;BAS;Basel / Binningen;68;1;75;980.4;26.1;3432;0.6;-11.4;13.0;78.2
2005-01-01;BAS;Basel / Binningen;51;1;58;986.6;24.2;5695;1.8;-10.7;13.3;78.7
2004-12-01;BAS;Basel / Binningen;30;1;76;982.6;63.8;2878;1.3;-10.7;11.5;87.5
2004-11-01;BAS;Basel / Binningen;42;0;86;983.9;26.5;2339;5.2;-4.2;16.1;84.1
2004-10-01;BAS;Basel / Binningen;76;0;77;976.0;173.6;5218;12.3;4.6;28.1;84.4
2004-09-01;BAS;Basel / Binningen;151;0;60;983.7;34.9;10680;16.4;6.5;28.1;74.4
2004-08-01;BAS;Basel / Binningen;179;0;68;977.8;79.6;10040;19.8;11.6;32.0;72.6
2004-07-01;BAS;Basel / Binningen;227;0;64;980.7;71.3;12625;19.4;9.5;30.9;67.5
2004-06-01;BAS;Basel / Binningen;228;0;68;981.4;70.1;11652;17.7;8.8;31.2;68.4
2004-05-01;BAS;Basel / Binningen;218;0;64;977.5;50.9;12419;13.2;2.9;27.3;66.9
2004-04-01;BAS;Basel / Binningen;173;0;73;975.5;19.1;8901;10.6;1.3;24.2;66.2
2004-03-01;BAS;Basel / Binningen;117;0;70;983.1;41.2;7343;5.7;-5.0;23.6;69.0
2004-02-01;BAS;Basel / Binningen;84;1;74;982.7;36.9;6817;3.0;-8.6;16.7;73.1
2004-01-01;BAS;Basel / Binningen;37;2;86;975.1;124.0;2404;2.3;-8.7;14.4;80.6
2003-12-01;BAS;Basel / Binningen;36;0;65;981.7;18.4;4420;2.4;-4.8;12.5;80.1
2003-11-01;BAS;Basel / Binningen;54;0;70;979.7;46.5;4802;6.6;-0.9;15.1;83.8
2003-10-01;BAS;Basel / Binningen;84;0;70;976.2;123.2;6786;7.8;-3.5;23.6;81.1
2003-09-01;BAS;Basel / Binningen;169;0;52;983.3;46.3;12764;15.5;3.8;28.7;69.5
2003-08-01;BAS;Basel / Binningen;230;0;43;980.0;58.8;17139;23.8;9.9;38.6;58.0
2003-07-01;BAS;Basel / Binningen;243;0;56;979.9;67.7;15160;21.3;11.5;36.3;62.6
